About,Informazioni
"M2E Pro module license will expire on %s for ""%s"" component. Go to the %slicense page%s.","La licenza del modulo M2E Pro scadrà in data %s per il componente ""%s"". Vai su %slicense page%s."
No matches were found. Please change the mapping attributes in <strong>Configuration > Account > 3rd Party Listings</strong> or try to map manually.,Non sono state trovate corrispondenze. Modifica gli attributi di associazione in <strong>Configurazione > Account > Inserzioni di terze parti</strong> o prova a eseguire l'associazione manualmente.
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" is in data processing mode. Please wait...","L'azione ""Sincronizzazione categorie"" per mercato: ""%mrk%"" è in modalità di elaborazione dati. Attendi..."
"The ""Parts Compatibility Synchronization"" action for ""%mrk%"" marketplace has been successfully completed.","L'azione ""Sincronizzazione compatibilità dei pezzi di ricambio"" per il mercato ""%mrk%"" è stata completata correttamente."
Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,Attenzione L'eliminazione dell'account comporta l'eliminazione di tutte le relative informazioni dal server M2E Pro. Questo comporta un lavoro inappropriato per tutte le copie degli account.
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:number of values for each option more than 30.,Il prodotto sarà elencato come prodotto semplice in quanto presenta una limitazione per gli oggetti multi-variante. Motivo: numero di valori per ogni opzione superiore a 30.
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:number of options more than 5.,Il prodotto sarà elencato come prodotto semplice in quanto presenta una limitazione per gli oggetti multi-variante. Motivo: numero di opzioni superiore a 5.
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:sum of quantities of all possible products options more than 120.,Il prodotto sarà elencato come prodotto semplice in quanto presenta una limitazione per gli oggetti multi-variante. Motivo: somma delle quantità di tutte le opzioni di prodotti possibili superiore a 120.
Map listing to magento product,Mappa l'inserzione sul prodotto Magento
Unmap listing from magento product,Annulla la mappa da prodotto Magento
Move to existing M2E listing,Sposta nell'inserzione M2E esistente
Change of product special price from date in magento store,Modifica della data di inizio del prezzo speciale del prodotto nel negozio Magento
Change of product special price to date in magento store,Modifica della data di scadenza del prezzo speciale del prodotto nel negozio Magento
Change item status on channel,Modifica dello stato dell'oggetto nel canale
Revise product,Modifica il prodotto
Relist product,Rimetti in vendita il prodotto
Stop product,Interrompi il prodotto
Actions,Azioni
Delete,Elimina
Are you sure?,Sei sicuro di voler continuare?
"Manage DB Table ""%s""","Gestisci tabella DB ""%s"""
Back,Indietro
Clear Table,Cancella tabella
Refresh,Aggiorna
unlimited,senza limiti
enabled,abilitata
disabled,disabilitata
General,Generale
Support,Assistenza
Video Tutorials,Esercitazioni video
Documentation,Documentazione
ID,ID
Title,Titolo
Channel,Channel
Creation Date,Data di creazione
Update Date,Data di aggiornamento
Edit,Modifica
All Accounts,Tutti gli account
Accounts,Account
General Templates,Modelli generali
Add Account,Aggiungi account
Analytics,Analisi
At least 1 channel should be enabled.,È necessario abilitare almeno 1 canale.
Cancel,Annulla
Save,Salva
Manage ESS Config Data,Gestisci dati configurazione ESS
Manage M2ePro Config Data,Gestisci dati configurazione M2ePro
Group,Gruppo
Key,Key
Value,Valore
Notice,Avviso
ESS Config Data,Data configurazione ESS
M2ePro Config Data,Dati configurazione M2ePro
Enter,Inserisci
Change,Modifica
Confirm,Conferma
License,Licenza
Complete This Step,Completa questo passaggio
Run Now,Esegui ora
Clear All,Azzera
View Log,Vedi registro
Logs Clearing,Cancellazione registri
Run Enabled Now,Esegui elementi abilitati
Clear All Logs,Cancella tutti i registri
Save Settings,Salva
Action,Azione
Listing ID,ID inserzione
Listing Title,Titolo inserzione
Product ID,ID prodotto
Product Title,Titolo prodotto
Description,Descrizione
Run Mode,Modalità di esecuzione
Type,Tipo
Priority,Priorità
Log For%s Listing,Registro per%s inserzione
Listings Log,Registro inserzioni
Listings,Inserzioni
Listing Settings,Impostazioni inserzione
Listing Items,Oggetti inserzione
Clearing,Cancellazione
Show General Log,Mostra registro generale
Product Title / SKU,Titolo/codice prodotto
Attrib. Set Name,Attrib. Imposta nome
SKU,Codice prodotto
Continue,Continua
Total Items,Totale oggetti
Source,Fonte
Products List,Elenco prodotti
Categories,Categorie
Store View,Vista negozio
"Listings which meet searching criteria (Attribute Set, Marketplace, Account) were not found.","Non sono state trovate inserzioni che soddisfano i criteri di ricerca (set di attributi, mercato, account)."
Identifier,Codice prodotto
Product Name,Nome prodotto
N/A,N/A
Log For%s 3rd Party Listing,Registro per%s inserzione di terze parti
3rd Party Listings Log,Registro inserzioni di terze parti
3rd Party Listings,Inserzioni di terze parti
Map To This Product,Associa a questo prodotto
Advanced Search,Ricerca avanzata
Moving eBay Items.,Spostamento oggetti eBay in corso.
Products failed to move,Impossibile spostare i prodotti
Product(s) was successfully moved.,Prodotto/i spostato/i correttamente.
"Products were not moved. <a href=""%s"">View log</a> for details.","I prodotti non sono stati spostati. <a href=""%s"">Vedi registro</a> per i dettagli."
"Some of the products were not moved. <a href=""%s"">View log</a> for details.","Alcuni prodotti non sono stati spostati. <a href=""%s"">Vedi registro</a> per i dettagli."
Product was successfully mapped.,Prodotto associato correttamente.
Mapping Product,Associazione prodotto
Product does not exist.,Il prodotto non esiste.
"Current eBay version only supports simple products in mapping. Please, choose simple product.",La versione eBay corrente supporta solo prodotti semplici nell'associazione. Scegli un prodotto semplice.
Processing %s product(s).,Elaborazione %s prodotti.
Task completed. Please wait ...,Attività completata. Attendi...
"""%s"" task has successfully completed.","Attività ""%s"" completata correttamente."
"""%s"" task has completed with warnings. <a href=""%s"">View log</a> for details.","Attività ""%s"" completata con avvisi. <a href=""%s"">Vedi registro</a> per i dettagli."
"""%s"" task has completed with errors. <a href=""%s"">View log</a> for details.","Attività ""%s"" completata con errori. <a href=""%s"">Vedi registro</a> per i dettagli."
Sending %s product(s) data on eBay.,Invio dati di %s su eBay in corso.
View All Product Log.,Vedi il registro di tutti i prodotti.
The listing was locked by another process. Please try again later.,L'inserzione è stata bloccata da un altro processo. Riprova più tardi.
Listing is empty.,Inserzione vuota.
Listing All Items On eBay,Messa in vendita di tutti gli oggetti su eBay in corso
Listing Selected Items On eBay,Messa in vendita degli oggetti selezionati su eBay in corso
Revising Selected Items On eBay,Revisione degli oggetti selezionati su eBay in corso
Relisting Selected Items On eBay,Rimessa in vendita degli oggetti selezionati su eBay in corso
Stopping Selected Items On eBay,Blocco degli oggetti selezionati su eBay in corso
Stopping On eBay And Removing From Listing Selected Items,Blocco su eBay e rimozione dalla messa in vendita degli oggetti selezionati in corso
Please enter correct product ID.,Immetti l'ID prodotto corretto.
Please enter correct product ID or SKU,Immetti l'ID prodotto o il codice prodotto corretto
Map Item(s) to Products,Associa oggetto/i ai prodotti
Only mapped products must be selected.,Solo i prodotti associati possono essere selezionati.
Please select items.,Seleziona gli oggetti.
Please select action.,Seleziona l'azione.
Success,Riuscito
Warning,Attenzione
Error,Errore
Close,Chiudi
Moving Amazon Items.,Spostamento oggetti Amazon in corso.
Product(s) was successfully mapped.,Prodotto/i associato/i correttamente.
Item was not mapped as the chosen %s Simple Product has Custom Options.,Oggetto non associato perch‚ il prodotto semplice %s scelto dispone di opzioni personalizzate.
"Please, choose another Simple Product.",Scegli un altro prodotto semplice.
"Current Amazon version only supports simple products. Please, choose simple product.",La versione Amazon corrente supporta solo prodotti semplici. Scegli un prodotto semplice.
Selected items must belong to the same Account and Marketplace.,Gli oggetti selezionati devono appartenere allo stesso account e mercato.
Product Title / Listing / SKU,Titolo/inserzione/codice prodotto
Stock Availability,Disponibilità in magazzino
In Stock,In magazzino
Out of Stock,Esaurito
Status,Stato
Unknown,Sconosciuto
Not Listed,Non messo in vendita
Listed,In vendita
Sold,Venduti
Stopped,Bloccati
Finished,Fine
Blocked,Bloccato
Manage,Gestisci
Listing,Inserzione
Go to listing,Vai all'inserzione
Search Listings Items,Cerca oggetti di inserzioni
Templates,Modelli
Selling Format Templates,Modelli del formato di vendita
Description Templates,Modelli descrizione
Synchronization Templates,Modelli di sincronizzazione
General Log,Registro generale
Search Products,Cerca prodotti
High,Alto
Medium,Medio
Low,Basso
Manual,Manuale
Automatic,Automatica
All Marketplaces,Tutti i mercati
Marketplaces,Mercati
Save And Complete This Step,Salva e completa questo passaggio
Save And Update,Salva e aggiorna
Order #,Numero ordine
Magento Order #,Numero ordine Magento
Orders Log,Registro ordini
Orders,Ordini
Feedbacks,Feedback
View Logs,Vedi registri
Restore All Helps,Ripristina tutti gli Aiuti
Settings,Impostazioni
Admin (Default Values),Amministrazione (valori predefiniti)
Attach Another File,Associa un altro file
Search,Cerca
Send,Invio
Synchronization,Sincronizzazione
Synchronization Log,Registro di sincronizzazione
Synchronization Settings,Impostazioni sincronizzazione
Global,Internazionale
Attribute Sets,Insiemi di attributi
%sDescription Templates,%sModelli descrizione
Add Description Template,Aggiungi modello descrizione
Account,Account
Marketplace,Paese
%sGeneral Templates,%sModelli generali
Add General Template,Aggiungi modello generale
Add Selling Format Template,Aggiungi modello del formato di vendita
Add Synchronization Template,Aggiungi modello di sincronizzazione
Languages,Lingue
Original Text,Testo originale
Suggestions,Suggerimenti
Show More Translations,Mostra più traduzioni
Hide Translations,Nascondi traduzioni
Add Translation,Aggiungi traduzione
Suggest,Segnala
Discard,Rimuovi
Reset,Azzera
Translation,Traduzione
"Please, enter new suggestion text.",Inserisci un nuovo testo di suggerimento.
Congratulations!,Complimenti!
Configuration Wizard,Procedura guidata della configurazione
Skip Wizard,Salta procedura guidata
Proceed,Procedi
Complete Configuration,Completa la configurazione
Start Configuration,Avvia la configurazione
Welcome to M2E Pro - Magento %s Integration!,Benvenuti all'integrazione di %s a M2E Pro - Magento.
M2E Pro module is locked because of security reason. Please contact us.,Il modulo M2E Pro è bloccato a causa di un motivo di sicurezza. Contattaci.
New buyer negative feedback(s) was received. Go to the %sfeedbacks page%s.,Sono stati ricevuti nuovi Feedback negativi dell'acquirente. Vai su %sFeedbacks page%s.
New buyer message(s) was received. Go to the %smessages page%s.,Sono stati ricevuti nuovi messaggi del cliente. Vai su %smessages page%s.
M2E Pro,M2E Pro
Wizard,Procedura guidata
Step is invalid,Passaggio non valido
Status is invalid,Stato non valido
Fatal error occurred,Si è verificato un errore irreversibile
Getting default website is failed,Ottenimento del sito Web predefinito non riuscito
Getting default store group is failed,Ottenimento del gruppo di negozi predefinito non riuscito
Getting default store is failed,Ottenimento del negozio predefinito non riuscito
eBay,eBay
Amazon (Beta),Amazon (Beta)
Sell on Multi-Channels,Vendi su più canali
Server domain is not defined,Dominio server non definito
Server IP is not defined,IP server non definito
"Encoding type ""%type%"" is not supported.","Tipo di codifica ""%type%"" non supportato."
Instance does not exist.,L'istanza non esiste.
Method require loaded instance first,Il metodo richiede prima un'istanza caricata
"Listing ""%s"" locked by other process.","Inserzione ""%s"" bloccata da un altro processo."
Relisting,Rimessa in vendita
Revising,Revisione
Stopping,Blocco
Deleting,Eliminazione
You must specify SKU if you want to add new inventory item.,Devi specificare il codice prodotto se desideri aggiungere un nuovo oggetto di magazzino.
ASIN/ISBN is empty.,ASIN/ISBN vuoto.
UPC/EAN is empty .,UPC/AEN vuoto.
Item was not mapped to %id% Product as this is a multi variations product.,L'oggetto non è stato associato a %id% Un prodotto simile è un prodotto con più varianti.
Item was successfully moved,Oggetto spostato correttamente
Duplicated Amazon orders with ID #%id%.,Ordini Amazon duplicati con ID #%id%.
Product import is disabled in Amazon Account settings.,L'importazione del prodotto è disabilitata nelle impostazioni di account Amazon.
"Product for Amazon Item ""%id%"" was created in Magento catalog.","Il prodotto per ""%id%"" oggetto Amazon è stato creato nel catalogo Magento."
"Product for Amazon Item ""%title%"" was created in Magento catalog.","Il prodotto per ""%titolo%"" oggetto Amazon è stato creato nel catalogo Magento."
Magento Order creation for items listed by M2E Pro is disabled in Account settings.,La creazione dell'ordine Magento per oggetti messi in vendita da M2E Pro è disabilitata nelle impostazioni di account.
Magento Order creation for items listed by 3rd party software is disabled in Account settings.,La creazione dell'ordine Magento per oggetti messi in vendita da software di terze parti è disabilitata nelle impostazioni di account.
Amazon Shipping,Spedizione Amazon
Every item in order has zero price.,Ogni oggetto nell'ordine ha un prezzo zero.
Customer with ID specified in Amazon account settings does not exist.,Il cliente con l'ID specificato nelle impostazioni di account Amazon non esiste.
Order Status cannot be Updated. Reason: %msg%,Impossibile aggiornare lo stato dell'ordine. Motivo: %msg%
Magento Order creation is not allowed for pending and canceled Amazon Orders.,La creazione dell'ordine Magento non è consentita per ordini Amazon in sospeso e annullati.
"ASIN/ISBN has a wrong format. Please, check its value in product settings.",ASIN/ISBN ha un formato errato. Controlla il suo valore nelle impostazioni del prodotto.
ASIN/ISBN was not found.,ASIN/ISBN non trovato.
The Product(s) was not found on Amazon.,Prodotti non trovati su Amazon.
The product was found in your Amazon inventory and linked by SKU.,Il prodotto è stato trovato nel magazzino Amazon e collegato dal codice prodotto.
"Item status was successfully changed to ""Unknown"".","Stato dell'oggetto modificato correttamente in ""Sconosciuto""."
"Item status was successfully changed to ""Active"".","Stato dell'oggetto modificato correttamente in ""Attivo""."
"Item status was successfully changed to ""Inactive"".","Stato dell'oggetto modificato correttamente in ""Inattivo""."
"Item status was successfully changed to ""Inactive (Blocked)"".","Stato dell'oggetto modificato correttamente in ""Inattivo (Bloccato)""."
"Task ""Update Listings Products"" is started. Please wait...","Attività ""Aggiorna prodotti delle inserzioni"" iniziata. Attendi..."
"Task ""Update Listings Products"" is finished. Please wait...","Attività ""Aggiorna prodotti delle inserzioni"" terminata. Attendi..."
"Task ""Default Synchronization"" is started. Please wait...","Attività ""Sincronizzazione predefinita"" iniziata. Attendi..."
"Task ""Default Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione predefinita"" terminata. Attendi..."
"The ""Categories Synchronization"" action is started. Please wait...","Azione ""Sincronizzazione categorie"" iniziata. Attendi..."
"The ""Categories Synchronization"" action is finished. Please wait...","Azione ""Sincronizzazione categorie"" iniziata. Attendi..."
"The ""Categories Synchronization"" action for marketplace: ""%s"" is started. Please wait...","Azione ""Sincronizzazione categorie"" per mercato: ""%s"" iniziata. Attendi..."
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.","Azione ""Sincronizzazione categorie"" per mercato: ""%mrk%"" completata correttamente."
"The ""Receive Details"" action is started. Please wait...","Azione ""Ricevi dettagli"" iniziata. Attendi..."
"The ""Receive Details"" action is finished. Please wait...","Azione ""Ricevi dettagli"" terminata. Attendi..."
"The ""Receive Details"" action for marketplace: ""%s"" is started. Please wait...","Azione ""Ricevi dettagli"" per mercato: ""%s"" iniziata. Attendi..."
"The ""Receive Details"" action for marketplace: ""%s is in data processing mode. Please wait...","Azione ""Ricevi dettagli"" per mercato: ""%s"" in modalità di elaborazione dati. Attendi..."
"The ""Receive Details"" action for marketplace: ""%mrk%""  has been successfully completed.","Azione ""Ricevi dettagli"" per mercato: ""%mrk%"" completata correttamente."
"The ""Receive Specifics"" action is started. Please wait...","Azione ""Ricevi specifiche"" iniziata. Attendi..."
"The ""Receive Specifics"" action is finished. Please wait...","Azione ""Ricevi specifiche"" terminata. Attendi..."
"The ""Specifics Synchronization"" action for marketplace: ""%s"" is started. Please wait...","Azione ""Sincronizzazione specifiche"" per mercato: ""%s"" iniziata. Attendi..."
"The ""Specifics Synchronization"" action for marketplace: ""%s"" is in data processing mode. Please wait...","L'azione ""Sincronizzazione specifiche"" per mercato: ""%s"" è in modalità di elaborazione dati. Attendi..."
"The ""Specifics Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.","Azione ""Sincronizzazione specifiche"" per mercato: ""%mrk%"" completata correttamente."
"Task ""Marketplaces Synchronization"" is started. Please wait...","Attività ""Sincronizzazione mercati"" iniziata. Attendi..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione mercati"" terminata. Attendi..."
"Task ""Orders Synchronization"" is started. Please wait...","Attività ""Sincronizzazione ordini"" iniziata. Attendi..."
"Task ""Orders Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione ordini"" terminata. Attendi..."
"Task ""Orders Synchronization"" for Amazon account: ""%s"" and marketplace ""%s"" is started. Please wait...","Attività ""Sincronizzazione ordini"" per l'account Amazon: ""%s"" e il mercato ""%s"" è avviato. Attendi..."
Item was successfully added,Oggetto aggiunto correttamente
"Task ""3rd Party Listings Synchronization"" is started. Please wait...","Attività ""Sincronizzazione inserzioni di terze parti"" iniziata. Attendi..."
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione inserzioni di terze parti"" terminata. Attendi..."
"The ""Final"" action is started. Please wait...","Azione ""Finale"" iniziata. Attendi..."
"The ""Final"" action is finished. Please wait...","Azione ""Finale"" terminata. Attendi..."
"The ""Relist"" action is started. Please wait...","Azione ""Rimetti in vendita"" iniziata. Attendi..."
"The ""Relist"" action is finished. Please wait...","Azione ""Rimetti in vendita"" terminata. Attendi..."
"The ""Revise"" action is started. Please wait...","Azione ""Modifica"" iniziata. Attendi..."
"The ""Revise"" action is finished. Please wait...","Azione ""Modifica"" terminata. Attendi..."
"The ""Initial"" action is started. Please wait...","Azione ""Iniziale"" iniziata. Attendi..."
"The ""Initial"" action is finished. Please wait...","Azione ""Iniziale"" terminata. Attendi..."
"The ""Stop"" action is started. Please wait...","Azione ""Stop"" iniziata. Attendi..."
"The ""Stop"" action is finished. Please wait...","Azione ""Stop"" terminata. Attendi..."
"Task ""Templates Synchronization"" is started. Please wait...","Attività ""Sincronizzazione modelli"" iniziata. Attendi..."
"Task ""Templates Synchronization"" is finished. Please wait...","Attività ""Sincronizzazione modelli"" terminata. Attendi..."
"Task ""Templates Synchronization"" has completed with errors. View %sl%listings log%el% for details.","Attività ""sincronizzazione modelli"" completata con errori. Vedi %sl%listings log%el% per dettagli."
"Task ""Templates Synchronization"" has completed with warnings. View %sl%listings log%el% for details.","Attività ""sincronizzazione modelli"" completata con avvisi. Vedi %sl%listings log%el% per dettagli."
Communication with Amazon is started. Please wait...,Comunicazione con Amazon iniziata. Attendi...
Please wait...,Attendi...
product(s),prodotti
product(s) with id(s),prodotti con id
Communication with Amazon is finished. Please wait...,Comunicazione con Amazon terminata. Attendi...
Error occurred while creating archive.,Si è verificato un errore durante la creazione dell'archivio.
Content does not exist.,Il contenuto non esiste.
Set component mode first,Imposta prima modalità componente
Resource is not set.,Risorsa non impostata.
ORM for config is not defined.,ORM per configurazione non definito.
Validation Failed. The server response data is not valid.,Convalida non riuscita. I dati di risposta del server non sono validi.
Internal server error(s) [%errors%],Errore/i del server interno [%errors%]
Server response data has invalid format.,I dati di risposta del server hanno un formato non valido.
Requested command has invalid format.,Il comando richiesto ha un formato non valido.
Server connection is failed. Please try again later.,Connessione server non riuscita. Riprova più tardi.
The name of log file is not specified.,Nome del file di registro non specificato.
Creation of Log file is failed.,Creazione del file di registro non riuscita.
Removing of Log file is failed.,Rimozione del file di registro non riuscita.
M2ePro base var dir creation is failed.,Creazione dir var base M2ePro non riuscita.
Custom var dir creation is failed.,Creazione dir var personalizzata non riuscita.
M2ePro base var dir removing is failed.,Rimozione dir var base M2ePro non riuscita.
Custom var dir removing is failed.,Rimozione dir var personalizzata non riuscita.
Listing component is not defined.,Componente inserzione non definito.
Listing id is not defined.,ID inserzione non definito.
Item was successfully mapped,Oggetto associato correttamente
Item was successfully unmapped,Annullamento dell'associazione dell'oggetto eseguito correttamente
Product id is not setted,ID prodotto non impostato
Item was successfully deleted,Oggetto eliminato correttamente
Listing was successfully deleted,Inserzione eliminata correttamente
Variation option was deleted. Item was reset.,Opzione variante eliminata. Oggetto reimpostato.
Wrong nick of lock item.,Pseudonimo errato dell'oggetto di blocco.
Wrong max deactivate lock item time.,Ora dell'oggetto di blocco di disattivazione massima errata.
Wrong object class for getting action_id!,Classe di oggetto errata per l'ottenimento di action_id.
Cancel is not allowed for Orders which were already Canceled.,Annullamento non consentito per ordini già annullati.
Cancel is not allowed for Orders with Invoiced Items.,Annullamento non consentito per ordini con oggetti fatturati.
Cancel is not allowed for Orders which were put on Hold.,Annullamento non consentito per ordini completati o chiusi.
Cancel is not allowed for Orders which were Completed or Closed.,Annullamento non consentito per ordini completati o chiusi.
M2E Pro Notes,Note M2E Pro
Yes,Sì
No,No
The Product ID is not set.,ID prodotto non impostato.
Load instance first,Carica prima l'istanza
Attribute does not exist.,L'attributo non esiste.
There is no associated products found for grouped product.,Nessun prodotto associato trovato per prodotto raggruppato.
Payment Status for eBay Order was updated to Paid.,Stato del pagamento per l'ordine eBay aggiornato in Pagato.
Payment Status for eBay Order was not updated. View %sl%order log%el% for more details.,Stato del pagamento per l'ordine eBay non aggiornato. Vedi %sl%order log%el% per ulteriori dettagli.
From [%from%] to [%to%],Da [%from%] a [%to%]
IN Stock,In magazzino
OUT of Stock,Esaurito
Enabled,Abilitata
Disabled,Disabilitata
From [%from%] to [%to%].,Da [%from%] a [%to%].
None,Nessuno
"Attribute ""%attr%"" from [%from%] to [%to%].","Attributo ""%attr%"" da [%from%] a [%to%]."
Shipping Status for eBay Order was updated.,Stato della spedizione per l'ordine eBay aggiornato.
Updating Amazon Order Status to Shipped in Progress...,Aggiornamento dello stato dell'ordine Amazon in Spedito in corso...
Shipping Status for %channel% Order was not updated. View %sl%order log%el% for more details.,Stato della spedizione per l'ordine %channel% non aggiornato. Vedi %sl%order log%el% per ulteriori dettagli.
Product does not exist. Probably it was deleted.,Il prodotto non esiste. Probabilmente è stato eliminato.
Product is disabled.,Il prodotto è disabilitato.
Order Import does not support product type: %type%.,L'importazione dell'ordine non supporta il tipo di prodotto: %type%.
Invalid order log type.,Tipo di registro dell'ordine non valido.
Store is not set.,Negozio non impostato.
Magento Order was not created. Reason: %msg%,Ordine Magento non creato. Motivo: %msg%
Magento Order #%order_id% was created.,L'ordine Magento #%order_id% è stato creato.
Payment Transaction was not created. Reason: %msg%,La transazione del pagamento non è stata creata. Motivo: %msg%
Invoice was not created. Reason: %msg%,La fattura non è stata creata. Motivo: %msg%
Invoice #%invoice_id% was created.,La fattura #%invoice_id% è stata creata.
Shipment was not created. Reason: %msg%,La spedizione non è stata creata. Motivo: %msg%
Shipment #%shipment_id% was created.,La spedizione #%shipment_id% è stata creata.
Tracking details were not imported. Reason: %msg%,I dettagli di tracciamento non sono stati importati. Motivo: %msg%
Tracking details were imported.,I dettagli di tracciamento sono stati importati.
Magento Order #%order_id% was canceled.,L'ordine Magento #%order_id% è stato annullato.
Magento Order #%order_id% was not canceled. Reason: %msg%,L'ordine Magento #%order_id% non è stato annullato. Motivo: %msg%
Store does not exist.,Il negozio non esiste.
"Payment method ""M2E Pro Payment"" is disabled in magento configuration.","Il metodo di pagamento ""Pagamento M2E Pro"" è disabilitato nella configurazione Magento."
"Shipping method ""M2E Pro Shipping"" is disabled in magento configuration.","Il metodo di spedizione ""Spedizione M2E Pro"" è disabilitato nella configurazione Magento."
Request failed.,Richiesta non riuscita.
Another Synchronization Is Already Running,È già in esecuzione un'altra sincronizzazione
"The ""Deleted Products"" action is started. Please wait...","Azione ""Prodotti eliminati"" iniziata. Attendi..."
"The ""Deleted Products"" action is finished. Please wait...","Azione ""Prodotti eliminati"" terminata. Attendi..."
"The ""Inspector"" action is started. Please wait...","Azione ""Ispezione"" iniziata. Attendi..."
