About,A propos
Magento Order was not created. Reason: Magento Order creation for items listed by M2E Pro is disabled in Account settings.,La commande Magento n'a pas été créée. Motif : la création de commandes Magento pour les objets mis en vente via M2E Pro est désactivée dans les paramètres du compte.
Magento Order was not created. Reason: Magento Order creation for items listed by 3rd party software is disabled in Account settings.,La commande Magento n'a pas été créée. Motif : la création de commandes Magento pour les objets mis en vente via un logiciel tiers est désactivée dans les paramètres du compte.
Magento Order is already created for this %s Order. Press Create Order button to create new one.,Une commande Magento a déjà été créée pour cette commande %s. Cliquez sur le bouton Créer la commande pour en créer une nouvelle.
Payment Status was not updated to Paid. Magento Order #%order_id% have to be cancelled according to Account's Automatic Cancellation setting.,Le statut du paiement n'a pas été remplacé par Payé. La commande Magento n° %order_id% doit être annulée conformément aux paramètres d'annulation automatique du compte.
Magento and M2E Pro has Internet Explorer 7 as minimal browser requirement. Please upgrade your browser.,La configuration minimale du navigateur pour Magento et M2E Pro est Internet Explorer 7. Veuillez mettre à niveau votre navigateur.
M2E Pro license key validation is failed for this domain. Go to the %slicense page%s.,La validation de la clé de licence de M2E Pro a échoué pour ce domaine. Accédez à la %spage de la licence%s.
M2E Pro license key validation is failed for this IP. Go to the %slicense page%s.,La validation de la clé de licence de M2E Pro a échoué pour cette adresse IP. Accédez à la %spage de la licence%s.
M2E Pro license key validation is failed for this base directory. Go to the %slicense page%s.,La validation de la clé de licence de M2E Pro a échoué pour ce répertoire de base. Accédez à la %spage de la licence%s.
M2E Pro module requires activation. Go to the %slicense page%s.,Le module M2E Pro doit être activé. Accédez à la %spage de la licence%s.
"M2E Pro module license suspended for ""%s"" component. Go to the %slicense page%s.",La licence du module M2E Pro est suspendue pour le composant %s. Accédez à la %spage de la licence%s.
"M2E Pro module license closed for ""%s"" component. Go to the %slicense page%s.",La licence du module M2E Pro est fermée pour le composant %s. Accédez à la %spage de la licence%s.
"M2E Pro module license has expired for ""%s"" component. Go to the %slicense page%s.",La licence du module M2E Pro a expiré pour le composant %s. Accédez à la %spage de la licence%s.
"M2E Pro module is running under Trial License for ""%s"" component, that will expire on %s.",Le module M2E Pro utilise une licence d'évaluation pour le composant %s. Cette licence expirera le %s.
"M2E Pro module license will expire on %s for ""%s"" component. Go to the %slicense page%s.",La licence du module M2E Pro expirera le %s pour le composant %s. Accédez à la %spage de la licence%s.
No matches were found. Please change the mapping attributes in <strong>Configuration > Account > 3rd Party Listings</strong> or try to map manually.,Aucune correspondance n'a été trouvée. Modifiez les attributs de mappage à partir du menu <strong>Configuration > Compte > Annonces tierces</strong> ou essayez d'effectuer le mappage manuellement.
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" is in data processing mode. Please wait...",La tâche « Synchronisation des catégories » pour la place de marché %mrk% est en cours de traitement. Veuillez patienter...
"The ""Parts Compatibility Synchronization"" action for ""%mrk%"" marketplace has been successfully completed.",La tâche « Synchronisation des données de compatibilité des pièces » pour la place de marché %mrk% est terminée.
Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,"Attention ! En supprimant un compte, vous supprimez également toutes les informations qui lui sont associées sur le serveur M2E Pro. Cette opération entraînera des problèmes de fonctionnement de toutes les copies du compte."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:number of values for each option more than 30.,"Le produit sera mis en vente comme produit simple, car il dépasse les limites associées aux annonces multi-versions. Motif : le nombre de valeurs pour chaque option est supérieur à 30."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:number of options more than 5.,"Le produit sera mis en vente comme produit simple, car il dépasse les limites associées aux annonces multi-versions. Motif : le nombre d'options est supérieur à 5."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:sum of quantities of all possible products options more than 120.,"Le produit sera mis en vente comme produit simple, car il dépasse les limites associées aux annonces multi-versions. Motif : la somme des quantités de toutes les options de produit possibles est supérieure à 120."
Map listing to magento product,Mapper l'annonce vers un produit Magento
Unmap listing from magento product,Démapper l'annonce du produit Magento
Move to existing M2E listing,Déplacer vers une annonce M2E existante
Change of product special price from date in magento store,Modifier la date de début du prix spécial du produit dans la boutique Magento
Change of product special price to date in magento store,Modifier la date de fin du prix spécial du produit dans la boutique Magento
Change item status on channel,Modifier le statut de l'objet sur le canal
Revise product,Modifier le produit
Relist product,Remettre le produit en vente
Stop product,Arrêter la vente du produit
Actions,Actions
Delete,Supprimer
Are you sure?,Etes-vous sûr ?
"Manage DB Table ""%s""",Gérer le tableau de la base de données %s
Back,Précédente
Clear Table,Effacer le tableau
Refresh,Actualiser
unlimited,pas de limite
enabled,activé
disabled,désactivé
General,Général
Support,Assistance
Video Tutorials,Didacticiels vidéo
Documentation,Documentation
ID,Identifiant
Title,Titre
Channel,Canal
Creation Date,Date de création
Update Date,Date de mise à jour
Edit,Modifier
All Accounts,Tous les comptes
Accounts,Comptes
General Templates,Modèles généraux
Add Account,Ajouter un compte
Analytics,Analyse
At least 1 channel should be enabled.,Vous devez activer au moins un canal.
Cancel,Annuler
Save,Enregistrer
Manage ESS Config Data,Gérer les données de configuration ESS
Manage M2ePro Config Data,Gérer les données de configuration M2E Pro
Group,Groupe
Key,Clé
Value,Valeur
Notice,Avis
ESS Config Data,Données de configuration ESS
M2ePro Config Data,Données de configuration M2E Pro
Enter,Saisir
Change,Modifier
Confirm,Confirmer
License,Licence
Complete This Step,Terminer cette étape
Run Now,Exécuter maintenant
Clear All,Effacer tout
View Log,Afficher le journal
Logs Clearing,Effacement des journaux
Run Enabled Now,Exécuter les éléments activés
Clear All Logs,Effacer tous les journaux
Save Settings,Enregistrer les paramètres
Action,Action
Listing ID,Numéro de l'annonce
Listing Title,Titre de l'annonce
Product ID,Code produit
Product Title,Nom du produit
Description,Description
Run Mode,Mode d'exécution
Type,Type
Priority,Priorité
Log For%s Listing,Journal de%s l'annonce
Listings Log,Journal des annonces
Listings,Annonces
Listing Settings,Paramètres de l'annonce
Listing Items,Objets de l'annonce
Clearing,Effacement
Show General Log,Afficher le journal général
Product Title / SKU,Titre du produit/Référence article
Attrib. Set Name,Nom du jeu d'attributs
SKU,Référence article
Continue,Continuer
Total Items,Total des objets
Source,Source
Products List,Liste de produits
Categories,Catégories
Store View,Vue boutique
"Listings which meet searching criteria (Attribute Set, Marketplace, Account) were not found.","Aucune annonce correspondant aux critères de recherche (jeu d'attributs, place de marché, compte) n'a été trouvée."
Identifier,Identifiant
Product Name,Nom du produit
N/A,S.O.
Log For%s 3rd Party Listing,Journal de%s l'annonce tierce
3rd Party Listings Log,Journal des annonces tierces
3rd Party Listings,Annonces tierces
Map To This Product,Mapper vers ce produit
Advanced Search,Recherche approfondie
Moving eBay Items.,Déplacement des objets eBay.
Products failed to move,Les produits n'ont pas pu être déplacés
Product(s) was successfully moved.,Les produits ont été déplacés.
"Products were not moved. <a href=""%s"">View log</a> for details.","Les produits n'ont pas été déplacés. <a href=""%s"">Consultez le journal</a> pour plus de détails."
"Some of the products were not moved. <a href=""%s"">View log</a> for details.","Certains produits n'ont pas été déplacés. <a href=""%s"">Consultez le journal</a> pour plus de détails."
Product was successfully mapped.,Le produit a été mappé.
Mapping Product,Mappage du produit
Product does not exist.,Le produit n'existe pas.
"Current eBay version only supports simple products in mapping. Please, choose simple product.",La version actuelle d'eBay prend uniquement en charge le mappage des produits simples. Veuillez choisir un produit simple.
Processing %s product(s).,Traitement des produits %s.
Task completed. Please wait ...,Fin de la tâche. Veuillez patienter...
"""%s"" task has successfully completed.",La tâche « %s » est terminée.
"""%s"" task has completed with warnings. <a href=""%s"">View log</a> for details.","La tâche « %s » s'est terminée avec des avertissements. <a href=""%s"">Consultez le journal</a> pour plus de détails."
"""%s"" task has completed with errors. <a href=""%s"">View log</a> for details.","La tâche « %s » s'est terminée avec des erreurs. <a href=""%s"">Consultez le journal</a> pour plus de détails."
Sending %s product(s) data on eBay.,Envoi de données produits %s sur eBay.
View All Product Log.,Afficher le journal de tous les produits.
The listing was locked by another process. Please try again later.,L'annonce a été verrouillée par un autre processus. Veuillez réessayer ultérieurement.
Listing is empty.,L'annonce est vide.
Listing All Items On eBay,Mise en vente de tous les objets sur eBay
Listing Selected Items On eBay,Mise en vente des objets sélectionnés sur eBay
Revising Selected Items On eBay,Modification des objets sélectionnés sur eBay
Relisting Selected Items On eBay,Remise en vente des objets sélectionnés sur eBay
Stopping Selected Items On eBay,Arrêt de la vente des objets sélectionnés sur eBay
Stopping On eBay And Removing From Listing Selected Items,Arrêt de la vente des objets sélectionné sur eBay et suppression de ces objets de l'annonce
Please enter correct product ID.,Saisissez le code produit correct.
Please enter correct product ID or SKU,Saisissez le code produit correct ou la référence article
Map Item(s) to Products,Mapper les objets vers des produits
Only mapped products must be selected.,Seuls des produits mappés doivent être sélectionnés.
Please select items.,Veuillez sélectionner des objets.
Please select action.,Sélectionnez une action.
Success,Opération réussie
Warning,Avertissement
Error,Erreur
Close,Fermer
Moving Amazon Items.,Déplacement des objets Amazon.
Product(s) was successfully mapped.,Les produits ont été mappés.
Item was not mapped as the chosen %s Simple Product has Custom Options.,L'objet n'a pas été mappé en raison des options personnalisées du produit simple %s choisi.
"Please, choose another Simple Product.",Veuillez choisir un autre produit simple.
"Current Amazon version only supports simple products. Please, choose simple product.",La version actuelle d'Amazon prend uniquement en charge les produits simples. Veuillez choisir un produit simple.
Selected items must belong to the same Account and Marketplace.,Les objets sélectionnés doivent appartenir au même compte et à la même place de marché.
Product Title / Listing / SKU,Titre du produit/Annonce/Référence article
Stock Availability,Disponibilité
In Stock,En stock
Out of Stock,En rupture de stock
Status,Statut
Unknown,Inconnu
Not Listed,Non mis en vente
Listed,Mis en vente
Sold,Vendu
Stopped,Arrêté
Finished,Terminé
Blocked,Bloqué
Manage,Gérer
Listing,Annonce
Go to listing,Accéder à l'annonce
Search Listings Items,Rechercher des objets dans les annonces
Templates,Modèles
Selling Format Templates,Modèles de format de mise en vente
Description Templates,Modèles de description
Synchronization Templates,Modèles de synchronisation
General Log,Journal général
Search Products,Rechercher des produits
High,Elevée
Medium,Moyenne
Low,Basse
Manual,Manuel
Automatic,Automatique
All Marketplaces,Toutes les places de marché
Marketplaces,Places de marché
Save And Complete This Step,Enregistrer et terminer cette étape
Save And Update,Enregistrer et mettre à jour
Order #,N° de commande
Magento Order #,N° de commande Magento
Orders Log,Journal des commandes
Orders,Commandes
Feedbacks,Evaluations
View Logs,Afficher les journaux
Restore All Helps,Rétablir toutes les aides
Settings,Paramètres
Admin (Default Values),Administrateur (valeurs par défaut)
Attach Another File,Joindre un autre fichier
Search,Rechercher
Send,Envoyer
Synchronization,Synchronisation
Synchronization Log,Journal de synchronisation
Synchronization Settings,Paramètres de synchronisation
Global,International
Attribute Sets,Jeux d'attributs
%sDescription Templates,%sModèles de description
Add Description Template,Ajouter un modèle de description
Account,Compte
Marketplace,Place de marché
%sGeneral Templates,%sModèles généraux
Add General Template,Ajouter un modèle général
Add Selling Format Template,Ajouter un modèle de format de mise en vente
Add Synchronization Template,Ajouter un modèle de synchronisation
Languages,Langues
Original Text,Texte d'origine
Suggestions,Suggestions
Show More Translations,Afficher d'autres traductions
Hide Translations,Masquer les traductions
Add Translation,Ajouter une traduction
Suggest,Proposer
Discard,Ignorer
Reset,Réinitialiser
Translation,Traduction
"Please, enter new suggestion text.",Saisissez une nouvelle suggestion.
Congratulations!,Félicitations !
Configuration Wizard,Assistant de configuration
Skip Wizard,Ignorer l'Assistant
Proceed,Continuer
Complete Configuration,Terminer la configuration
Start Configuration,Commencer la configuration
Welcome to M2E Pro - Magento %s Integration!,Bienvenue dans l'intégration M2E Pro - Magento %s !
M2E Pro module is locked because of security reason. Please contact us.,Le module M2E Pro est verrouillé pour des raisons de sécurité. Veuillez nous contacter.
New buyer negative feedback(s) was received. Go to the %sfeedbacks page%s.,De nouvelles évaluations négatives de la part des acheteurs ont été reçues. Accédez à la %spage des évaluations%s.
New buyer message(s) was received. Go to the %smessages page%s.,De nouveaux messages de la part des acheteurs ont été reçus. Accédez à la %spage des messages%s.
M2E Pro,M2E Pro
Wizard,Assistant
Step is invalid,L'étape n'est pas valide
Status is invalid,Le statut n'est pas valide
Fatal error occurred,Une erreur critique est survenue
Getting default website is failed,L'obtention du site Web par défaut a échoué
Getting default store group is failed,L'obtention du groupe de boutiques par défaut a échoué
Getting default store is failed,L'obtention de la boutique par défaut a échoué
eBay,eBay
Amazon (Beta),Amazon (Bêta)
Sell on Multi-Channels,Vendre sur plusieurs canaux
Server domain is not defined,Le domaine du serveur n'est pas défini
Server IP is not defined,L'adresse IP du serveur n'est pas définie
"Encoding type ""%type%"" is not supported.",Le type d'encodage %type% n'est pas pris en charge.
Instance does not exist.,L'instance n'existe pas.
Method require loaded instance first,La méthode requiert le chargement préalable de l'instance
"Listing ""%s"" locked by other process.",L'annonce « %s » est verrouillée par un autre processus.
Relisting,Remise en vente
Revising,Modification
Stopping,Arrêt
Deleting,Suppression
You must specify SKU if you want to add new inventory item.,Vous devez spécifier une référence article pour pouvoir ajouter un nouvel objet de l'inventaire.
ASIN/ISBN is empty.,Le champ Code ASIN/ISBN n'est pas renseigné.
UPC/EAN is empty .,Le champ Code UPC/EAN n'est pas renseigné.
Item was not mapped to %id% Product as this is a multi variations product.,"L'objet n'a pas pu être mappé vers le produit %id%, car il s'agit d'un produit à plusieurs versions."
Item was successfully moved,L'objet a été déplacé
Duplicated Amazon orders with ID #%id%.,Les commandes Amazon ayant le numéro %id% ont été dupliquées.
Product import is disabled in Amazon Account settings.,L'importation de produits est désactivée dans les paramètres du compte Amazon.
"Product for Amazon Item ""%id%"" was created in Magento catalog.",Le produit correspondant à l'objet Amazon %id% a été créé dans le catalogue Magento.
"Product for Amazon Item ""%title%"" was created in Magento catalog.",Le produit correspondant à l'objet Amazon %title% a été créé dans le catalogue Magento.
Magento Order creation for items listed by M2E Pro is disabled in Account settings.,La création de commandes Magento pour les objets mis en vente via M2E Pro est désactivée dans les paramètres du compte.
Magento Order creation for items listed by 3rd party software is disabled in Account settings.,La création de commandes Magento pour les objets mis en vente via un logiciel tiers est désactivée dans les paramètres du compte.
Amazon Shipping,Livraison Amazon
Every item in order has zero price.,Aucun prix n'est défini pour les objets de la commande.
Customer with ID specified in Amazon account settings does not exist.,Le client dont le nom d'utilisateur est spécifié dans les paramètres du compte Amazon n'existe pas.
Order Status cannot be Updated. Reason: %msg%,Le statut de la commande ne peut pas être modifié. Motif : %msg%
Magento Order creation is not allowed for pending and canceled Amazon Orders.,La création de commandes Magento n'est pas autorisée pour les commandes Amazon en attente et annulées.
"ASIN/ISBN has a wrong format. Please, check its value in product settings.",Le format du code ASIN/ISBN est incorrect. Vérifiez la valeur dans les paramètres du produit.
ASIN/ISBN was not found.,Code ASIN/ISBN introuvable.
The Product(s) was not found on Amazon.,Les produits sont introuvables sur Amazon.
The product was found in your Amazon inventory and linked by SKU.,Le produit a été trouvé dans votre inventaire Amazon et associé via la référence article.
"Item status was successfully changed to ""Unknown"".",Le statut de l'objet a été remplacé par Inconnu.
"Item status was successfully changed to ""Active"".",Le statut de l'objet a été remplacé par En cours.
"Item status was successfully changed to ""Inactive"".",Le statut de l'objet a été remplacé par Inactif.
"Item status was successfully changed to ""Inactive (Blocked)"".",Le statut de l'objet a été remplacé par Inactif (bloqué).
"Task ""Update Listings Products"" is started. Please wait...",La tâche « Mise à jour des produits des annonces » a démarré. Veuillez patienter...
"Task ""Update Listings Products"" is finished. Please wait...",La tâche « Mise à jour des produits des annonces » est terminée. Veuillez patienter...
"Task ""Default Synchronization"" is started. Please wait...",La tâche « Synchronisation par défaut » a démarré. Veuillez patienter...
"Task ""Default Synchronization"" is finished. Please wait...",La tâche « Synchronisation par défaut » est terminée. Veuillez patienter...
"The ""Categories Synchronization"" action is started. Please wait...",La tâche « Synchronisation des catégories » a démarré. Veuillez patienter...
"The ""Categories Synchronization"" action is finished. Please wait...",La tâche « Synchronisation des catégories » est terminée. Veuillez patienter...
"The ""Categories Synchronization"" action for marketplace: ""%s"" is started. Please wait...",La tâche « Synchronisation des catégories » pour la place de marché %s a démarré. Veuillez patienter...
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.",La tâche « Synchronisation des catégories » pour la place de marché %mrk% est terminée.
"The ""Receive Details"" action is started. Please wait...",La tâche « Réception des détails » a démarré. Veuillez patienter...
"The ""Receive Details"" action is finished. Please wait...",La tâche « Réception des détails » est terminée. Veuillez patienter...
"The ""Receive Details"" action for marketplace: ""%s"" is started. Please wait...",La tâche « Réception des détails » pour la place de marché %s a démarré. Veuillez patienter...
"The ""Receive Details"" action for marketplace: ""%s is in data processing mode. Please wait...",La tâche « Réception des détails » pour la place de marché %s est en cours de traitement. Veuillez patienter...
"The ""Receive Details"" action for marketplace: ""%mrk%""  has been successfully completed.",La tâche « Réception des détails » pour la place de marché %mrk% est terminée.
"The ""Receive Specifics"" action is started. Please wait...",La tâche « Réception des caractéristiques » a démarré. Veuillez patienter...
"The ""Receive Specifics"" action is finished. Please wait...",La tâche « Réception des caractéristiques » est terminée. Veuillez patienter...
"The ""Specifics Synchronization"" action for marketplace: ""%s"" is started. Please wait...",La tâche « Synchronisation des caractéristiques » pour la place de marché %s a démarré. Veuillez patienter...
"The ""Specifics Synchronization"" action for marketplace: ""%s"" is in data processing mode. Please wait...",La tâche « Synchronisation des caractéristiques » pour la place de marché %s est en cours de traitement. Veuillez patienter...
"The ""Specifics Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.",La tâche « Synchronisation des caractéristiques » pour la place de marché %mrk% est terminée.
"Task ""Marketplaces Synchronization"" is started. Please wait...",La tâche « Synchronisation des places de marché » a démarré. Veuillez patienter...
"Task ""Marketplaces Synchronization"" is finished. Please wait...",La tâche « Synchronisation des places de marché » est terminée. Veuillez patienter...
"Task ""Orders Synchronization"" is started. Please wait...",La tâche « Synchronisation des commandes » a démarré. Veuillez patienter...
"Task ""Orders Synchronization"" is finished. Please wait...",La tâche « Synchronisation des commandes » est terminée. Veuillez patienter...
"Task ""Orders Synchronization"" for Amazon account: ""%s"" and marketplace ""%s"" is started. Please wait...",La tâche « Synchronisation des commandes » pour le compte Amazon %s et la place de marché %s a démarré. Veuillez patienter...
Item was successfully added,L'objet a été ajouté
"Task ""3rd Party Listings Synchronization"" is started. Please wait...",La tâche « Synchronisation des annonces tierces » a démarré. Veuillez patienter...
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...",La tâche « Synchronisation des annonces tierces » est terminée. Veuillez patienter...
"The ""Final"" action is started. Please wait...",La tâche « Final » a démarré. Veuillez patienter...
"The ""Final"" action is finished. Please wait...",La tâche « Final » est terminée. Veuillez patienter...
"The ""Relist"" action is started. Please wait...",La tâche « Remettre en vente » a démarré. Veuillez patienter...
"The ""Relist"" action is finished. Please wait...",La tâche « Remettre en vente » est terminée. Veuillez patienter...
"The ""Revise"" action is started. Please wait...",La tâche « Modifier » a démarré. Veuillez patienter...
"The ""Revise"" action is finished. Please wait...",La tâche « Modifier » est terminée. Veuillez patienter...
"The ""Initial"" action is started. Please wait...",La tâche « Initial » a démarré. Veuillez patienter...
"The ""Initial"" action is finished. Please wait...",La tâche « Initial » est terminée. Veuillez patienter...
"The ""Stop"" action is started. Please wait...",La tâche « Interrompre » a démarré. Veuillez patienter...
"The ""Stop"" action is finished. Please wait...",La tâche « Interrompre » est terminée. Veuillez patienter...
"Task ""Templates Synchronization"" is started. Please wait...",La tâche « Synchronisation des modèles » a démarré. Veuillez patienter...
"Task ""Templates Synchronization"" is finished. Please wait...",La tâche « Synchronisation des modèles » est terminée. Veuillez patienter...
"Task ""Templates Synchronization"" has completed with errors. View %sl%listings log%el% for details.",La tâche « Synchronisation des modèles » s'est terminée avec des erreurs. Consultez le %sl%journal des annonces%el% pour plus de détails.
"Task ""Templates Synchronization"" has completed with warnings. View %sl%listings log%el% for details.",La tâche « Synchronisation des modèles » s'est terminée avec des avertissements. Consultez le %sl%journal des annonces%el% pour plus de détails.
Communication with Amazon is started. Please wait...,Début de la communication avec Amazon. Veuillez patienter...
Please wait...,Veuillez patienter...
product(s),produit(s)
product(s) with id(s),produit(s) avec code
Communication with Amazon is finished. Please wait...,Fin de la communication avec Amazon. Veuillez patienter...
Error occurred while creating archive.,Une erreur est survenue lors de la création de l'archive.
Content does not exist.,Le contenu n'existe pas.
Set component mode first,Définissez d'abord le mode du composant
Resource is not set.,La ressource n'est pas définie.
ORM for config is not defined.,La valeur ORM pour la configuration n'est pas définie.
Validation Failed. The server response data is not valid.,Echec de la validation. Les données de réponse du serveur ne sont pas valides.
Internal server error(s) [%errors%],Erreurs internes du serveur [%errors%]
Server response data has invalid format.,Le format des données de réponse du serveur est incorrect.
Requested command has invalid format.,Le format de la commande demandée est incorrect.
Server connection is failed. Please try again later.,Echec de connexion au serveur. Veuillez réessayer ultérieurement.
The name of log file is not specified.,Le nom du journal n'est pas spécifié.
Creation of Log file is failed.,La création du journal a échoué.
Removing of Log file is failed.,La suppression du journal a échoué.
M2ePro base var dir creation is failed.,La création de l'attribut var dir M2E Pro base a échoué.
Custom var dir creation is failed.,La création de l'attribut var dir personnalisé a échoué.
M2ePro base var dir removing is failed.,La suppression de l'attribut var dir M2E Pro base a échoué.
Custom var dir removing is failed.,La suppression de l'attribut var dir personnalisé a échoué.
Listing component is not defined.,Le composant d'annonce n'est pas défini.
Listing id is not defined.,Le numéro d'annonce n'est pas défini.
Item was successfully mapped,L'objet a été mappé
Item was successfully unmapped,L'objet a été démappé
Product id is not setted,Le code produit n'est pas défini
Item was successfully deleted,L'objet a été supprimé
Listing was successfully deleted,L'annonce a été supprimée
Variation option was deleted. Item was reset.,L'option de version a été supprimée. L'objet a été réinitialisé.
Wrong nick of lock item.,L'état de l'objet verrouillé est incorrect.
Wrong max deactivate lock item time.,La durée maximale de désactivation de l'objet verrouillé est incorrecte.
Wrong object class for getting action_id!,La classe d'objet pour obtenir action_id est incorrecte.
Cancel is not allowed for Orders which were already Canceled.,L'annulation n'est pas autorisée pour les commandes déjà annulées.
Cancel is not allowed for Orders with Invoiced Items.,L'annulation n'est pas autorisée pour les commandes comportant des objets facturés.
Cancel is not allowed for Orders which were put on Hold.,L'annulation n'est pas autorisée pour les commandes suspendues.
Cancel is not allowed for Orders which were Completed or Closed.,L'annulation n'est pas autorisée pour les commandes finalisées ou clôturées.
M2E Pro Notes,Commentaires M2E Pro
Yes,Oui
No,Non
The Product ID is not set.,Le code produit n'est pas défini.
Load instance first,Commencez par charger l'instance
Attribute does not exist.,L'attribut n'existe pas.
There is no associated products found for grouped product.,Aucun produit associé ne correspond au produit groupé.
Payment Status for eBay Order was updated to Paid.,Le statut du paiement de la commande eBay a été remplacé par Payé.
Payment Status for eBay Order was not updated. View %sl%order log%el% for more details.,Le statut du paiement de la commande eBay n'a pas été modifié. Consultez le %sl%journal de la commande%el% pour plus de détails.
From [%from%] to [%to%],De [%from%] à [%to%]
IN Stock,En stock
OUT of Stock,En rupture de stock
Enabled,Activé
Disabled,Désactivé
From [%from%] to [%to%].,De [%from%] à [%to%].
None,Aucun
"Attribute ""%attr%"" from [%from%] to [%to%].",Attribut %attr% de [%from%] à [%to%].
Shipping Status for eBay Order was updated.,Le statut de la livraison de la commande eBay a été modifié.
Updating Amazon Order Status to Shipped in Progress...,Remplacement du statut de la commande Amazon par Envoyé...
Shipping Status for %channel% Order was not updated. View %sl%order log%el% for more details.,Le statut de la livraison de la commande %channel% n'a pas été modifié. Consultez le %sl%journal de la commande%el% pour plus de détails.
Product does not exist. Probably it was deleted.,Le produit n'existe pas. Il a probablement été supprimé.
Product is disabled.,Le produit est désactivé.
Order Import does not support product type: %type%.,L'importation de la commande ne prend pas en charge le type de produit %type%.
Invalid order log type.,Type de journal des commandes incorrect.
Store is not set.,La boutique n'est pas définie.
Magento Order was not created. Reason: %msg%,La commande Magento n'a pas été créée. Motif : %msg%
Magento Order #%order_id% was created.,La commande Magento n° %order_id% a été créée.
Payment Transaction was not created. Reason: %msg%,La transaction de paiement n'a pas été créée. Motif : %msg%
Invoice was not created. Reason: %msg%,La facture n'a pas été créée. Motif : %msg%
Invoice #%invoice_id% was created.,La facture n° %invoice_id% a été créée.
Shipment was not created. Reason: %msg%,L'envoi n'a pas été créé. Motif : %msg%
Shipment #%shipment_id% was created.,L'envoi n° %shipment_id% a été créé.
Tracking details were not imported. Reason: %msg%,Les informations de suivi n'ont pas été importées. Motif : %msg%
Tracking details were imported.,Les informations de suivi ont été importées.
Magento Order #%order_id% was canceled.,La commande Magento n° %order_id% a été annulée.
Magento Order #%order_id% was not canceled. Reason: %msg%,La commande Magento n° %order_id% n'a pas été annulée. Motif : %msg%
Store does not exist.,La boutique n'existe pas.
"Payment method ""M2E Pro Payment"" is disabled in magento configuration.",Le mode de paiement « Paiement M2E Pro » est désactivé dans la configuration Magento.
"Shipping method ""M2E Pro Shipping"" is disabled in magento configuration.",Le mode de livraison « Livraison M2E Pro » est désactivé dans la configuration Magento.
Request failed.,La requête a échoué.
Another Synchronization Is Already Running,Une autre synchronisation est déjà en cours d'exécution
"The ""Deleted Products"" action is started. Please wait...",La tâche « Produits supprimés » a démarré. Veuillez patienter...
"The ""Deleted Products"" action is finished. Please wait...",La tâche « Produits supprimés » est terminée. Veuillez patienter...
"The ""Inspector"" action is started. Please wait...",La tâche « Inspecteur » a démarré. Veuillez patienter...
