About,Info
Description,Beschreibung
Run Mode,Ausführungsmodus
Type,Typ
Priority,Priorität
Log For%s Listing,Protokoll für%s-Angebot
Listings Log,Angebotsprotokoll
Listings,Angebote
Listing Settings,Angebotseinstellungen
Listing Items,Artikel einstellen
Clearing,Löschen
Show General Log,Allgemeines Protokoll anzeigen
Product Title / SKU,Produktbezeichnung/Bestandseinheit
Attrib. Set Name,Attribut Namen festlegen
SKU,Bestandseinheit
Continue,Weiter
Total Items,Gesamtzahl der Artikel
Source,Quelle
Products List,Produktliste
Categories,Kategorien
Store View,Shop-Ansicht
"Listings which meet searching criteria (Attribute Set, Marketplace, Account) were not found.","Es wurden keine Angebote gefunden, die den Suchkriterien (Attribut, Marktplatz, Mitgliedskonto) entsprechen ."
Identifier,Kennung
Product Name,Produktbezeichnung
N/A,Keine Angabe
Log For%s 3rd Party Listing,Protokoll für%s Angebot von Drittanbietern
3rd Party Listings Log,Protokoll für Angebote von Drittanbietern
3rd Party Listings,Angebote von Drittanbietern
Map To This Product,Diesem Produkt zuordnen
Advanced Search,Erweiterte Suche
Moving eBay Items.,eBay-Artikel verschieben.
Products failed to move,Verschieben von Produkten fehlgeschlagen
Product(s) was successfully moved.,Produkte wurden verschoben.
"Products were not moved. <a href=""%s"">View log</a> for details.","Produkte wurden nicht verschoben. Weitere Details im <a href=""%s"">Protokoll anzeigen</a>."
"Some of the products were not moved. <a href=""%s"">View log</a> for details.","Einige der Produkte wurden nicht verschoben. Weitere Details im <a href=""%s"">Protokoll anzeigen</a>."
Product was successfully mapped.,Produkt wurde zugeordnet.
Mapping Product,Produkt wird zugeordnet
Product does not exist.,Produkt existiert nicht.
"Current eBay version only supports simple products in mapping. Please, choose simple product.",Die aktuelle eBay-Version unterstützt nur Zuordnungen einfacher Produkte. Bitte wählen Sie ein einfaches Produkt.
Processing %s product(s).,Produkt(e) %s wird/werden verarbeitet.
Task completed. Please wait ...,Aufgabe abgeschlossen. Bitte warten Sie...
"""%s"" task has successfully completed.",Die Aufgabe „%s“ wurde erfolgreich abgeschlossen.
"""%s"" task has completed with warnings. <a href=""%s"">View log</a> for details.","Die Aufgabe „%s“ wurde mit Warnungen abgeschlossen. Weitere Details im <a href=""%s"">Protokoll anzeigen</a>."
"""%s"" task has completed with errors. <a href=""%s"">View log</a> for details.","Die Aufgabe „%s“ wurde mit Fehlern abgeschlossen. Weitere Details im <a href=""%s"">Protokoll anzeigen</a>."
Sending %s product(s) data on eBay.,Daten zu %s-Produkt(en) bei eBay senden.
View All Product Log.,Alle Produktprotokolle anzeigen.
The listing was locked by another process. Please try again later.,Das Angebot wurde durch einen anderen Vorgang blockiert. Bitte versuchen Sie es später noch einmal.
Listing is empty.,Das Angebot ist leer.
Listing All Items On eBay,Alle Artikel bei eBay einstellen
Listing Selected Items On eBay,Ausgewählte Artikel bei eBay einstellen
Revising Selected Items On eBay,Ausgewählte Artikel bei eBay überarbeiten
Relisting Selected Items On eBay,Ausgewählte Artikel bei eBay wiedereinstellen
Stopping Selected Items On eBay,Ausgewählte Artikel bei eBay anhalten
Stopping On eBay And Removing From Listing Selected Items,Bei eBay anhalten und ausgewählte Artikel aus dem Angebot entfernen
Please enter correct product ID.,Bitte geben Sie die korrekte Produkt-ID ein.
Please enter correct product ID or SKU,Bitte geben Sie die korrekte Produkt-ID oder Bestandseinheit ein.
Map Item(s) to Products,Artikel Produkten zuordnen
Only mapped products must be selected.,Es können nur zugeordnete Produkte ausgewählt werden.
Please select items.,Bitte wählen Sie Artikel aus.
Please select action.,Bitte wählen Sie eine Aktion.
Success,Erfolg
Warning,Hinweis
Error,Fehler
Close,Schließen
Moving Amazon Items.,Amazon-Artikel werden verschoben.
Product(s) was successfully mapped.,Produkte wurden zugeordnet.
Item was not mapped as the chosen %s Simple Product has Custom Options.,"Der Artikel wurde nicht zugeordnet, da das ausgewählte einfache Produkt %s über benutzerdefinierte Optionen verfügt."
"Please, choose another Simple Product.",Bitte wählen Sie ein anderes einfaches Produkt.
"Current Amazon version only supports simple products. Please, choose simple product.",Die aktuelle Amazon-Version unterstützt nur einfache Produkte. Bitte wählen Sie ein einfaches Produkt.
Selected items must belong to the same Account and Marketplace.,Die ausgewählten Artikel müssen zu demselben Mitgliedskonto und Marktplatz gehören.
Product Title / Listing / SKU,Produktbezeichnung/Angebot/Bestandseinheit
Stock Availability,Verfügbarkeit
In Stock,Auf Lager
Out of Stock,Nicht mehr vorrätig
Status,Status
Unknown,Unbekannt
Not Listed,Nicht eingestellt
Listed,Eingestellt
Sold,Verkauft
Stopped,Angehalten
Finished,Fertig
Blocked,Blockiert
Manage,Verwalten
Listing,Angebot
Go to listing,Angebot aufrufen
Search Listings Items,Angebotsartikel suchen
Templates,Vorlagen
Selling Format Templates,Angebotsformatvorlagen
Description Templates,Beschreibungsvorlagen
Synchronization Templates,Synchronisierungsvorlagen
General Log,Allgemeines Protokoll
Search Products,Nach Produkten suchen
High,Hoch
Medium,Mittel
Low,Gering
Manual,Manuell
Automatic,Automatik
All Marketplaces,Alle Marktplätze
Marketplaces,Marktplätze
Save And Complete This Step,Speichern und diesen Schritt abschließen
Save And Update,Speichern und aktualisieren
Order #,Bestellnummer
Magento Order #,Magento-Bestellnummer
Orders Log,Bestellprotokoll
Orders,Bestellungen
Feedbacks,Bewertungen
View Logs,Protokolle anzeigen
Restore All Helps,Alle Hilfe-Abschitte wiederherstellen
Settings,Einstellungen
Admin (Default Values),Admin (Standardwerte)
Attach Another File,Andere Datei anhängen
Search,Finden
Send,Senden
Synchronization,Synchronisierung
Synchronization Log,Synchronisierungsprotokoll
Synchronization Settings,Synchronisierungseinstellungen
Global,Weltweit
Attribute Sets,Attributdatensätze
%sDescription Templates,%s Beschreibungsvorlagen
Add Description Template,Beschreibungsvorlage hinzufügen
Account,Mitgliedskonto
Marketplace,Marktplatz
%sGeneral Templates,%sAllgemeine Vorlagen
Add General Template,Allgemeine Vorlage hinzufügen
Add Selling Format Template,Angebotsformatvorlage hinzufügen
Add Synchronization Template,Synchronisierungsvorlage hinzufügen
Languages,Sprachen
Original Text,Originaltext
Suggestions,Vorschläge
Show More Translations,Weitere Übersetzungen anzeigen
Hide Translations,Übersetzungen ausblenden
Add Translation,Übersetzung hinzufügen
Suggest,Vorschlagen
Discard,Verwerfen
Reset,Zurücksetzen
Translation,Übersetzung
"Please, enter new suggestion text.",Geben Sie den Text für einen neuen Vorschlag ein.
Congratulations!,Herzlichen Glückwunsch!
Configuration Wizard,Konfigurationsassistent
Skip Wizard,Assistent überspringen
Proceed,Weiter
Complete Configuration,Konfiguration abschließen
Start Configuration,Konfiguration starten
Welcome to M2E Pro - Magento %s Integration!,Willkommen bei der M2E Pro-Magento-%s-Integration!
M2E Pro module is locked because of security reason. Please contact us.,Das M2E Pro-Modul ist aus Sicherheitsgründen gesperrt. Bitte setzen Sie sich mit uns in Verbindung.
New buyer negative feedback(s) was received. Go to the %sfeedbacks page%s.,Sie haben neue negative Käuferbewertungen erhalten. Rufen Sie die %Bewertungsseite% auf.
New buyer message(s) was received. Go to the %smessages page%s.,Sie haben neue Käufernachrichten erhalten. Rufen Sie die %sNachrichtenseite%s auf.
M2E Pro,M2E Pro
Wizard,Assistent
Step is invalid,Schritt ist ungültig
Status is invalid,Status ist ungültig
Fatal error occurred,Es ist ein schwerwiegender Fehler aufgetreten
Getting default website is failed,Aufrufen der Standard-Website fehlgeschlagen
Getting default store group is failed,Aufrufen der Standard-Shop-Gruppe fehlgeschlagen
Getting default store is failed,Aufrufen des Standard-Shops fehlgeschlagen
eBay,Team
Amazon (Beta),Amazon (Beta)
Sell on Multi-Channels,In mehreren Channels verkaufen
Server domain is not defined,Server-Domäne ist nicht definiert
Server IP is not defined,Server-IP ist nicht definiert
"Encoding type ""%type%"" is not supported.",Die Verschlüsselungsart „%type%“ wird nicht unterstützt.
Instance does not exist.,Instanz existiert nicht.
Method require loaded instance first,Für diese Methode muss zuerst die Instanz geladen werden
"Listing ""%s"" locked by other process.",Das Angebot „%s“ ist durch einen anderen Prozess gesperrt.
Relisting,Wiedereinstellen
Revising,Bearbeiten
Stopping,Anhalten
Deleting,Löschen
You must specify SKU if you want to add new inventory item.,"Sie müssen die Bestandseinheit angeben, wenn Sie einen neuen Warenbestandsartikel hinzufügen möchten."
ASIN/ISBN is empty.,Das Feld für ASIN/ISBN ist leer.
UPC/EAN is empty .,Das Feld für UPC/EAN ist leer.
Item was not mapped to %id% Product as this is a multi variations product.,"Der Artikel konnte Produkt %id nicht zugeordnet werden, da es sich um ein Produkt mit mehreren Varianten handelt."
Item was successfully moved,Der Artikel wurde verschoben
Duplicated Amazon orders with ID #%id%.,Doppelte Amazon-Bestellungen mit der Nummer %id%.
Product import is disabled in Amazon Account settings.,Das Importieren von Produkten ist in den Einstellungen des Amazon-Kontos deaktiviert.
"Product for Amazon Item ""%id%"" was created in Magento catalog.",Das Produkt für Amazon-Artikel „%id%“ wurde im Magento-Katalog erstellt.
"Product for Amazon Item ""%title%"" was created in Magento catalog.",Das Produkt für Amazon-Artikel „%title%“ wurde im Magento-Katalog erstellt.
Magento Order creation for items listed by M2E Pro is disabled in Account settings.,Die Erstellung von Magento-Bestellungen für mit M2E Pro eingestellte Artikel ist in den Kontoeinstellungen deaktiviert.
Magento Order creation for items listed by 3rd party software is disabled in Account settings.,Die Erstellung von Magento-Bestellungen für mit Drittanbieter-Software eingestellte Artikel ist in den Kontoeinstellungen deaktiviert.
Amazon Shipping,Versand bei Amazon
Every item in order has zero price.,Die Preise für alle Artikel in der Bestellung wurden auf null gesetzt.
Customer with ID specified in Amazon account settings does not exist.,Der Kunde mit der in den Amazon-Kontoeinstellungen angegebenen ID existiert nicht.
Order Status cannot be Updated. Reason: %msg%,Der Bestellungsstatus kann nicht aktualisiert werden. Grund: %msg%
Magento Order creation is not allowed for pending and canceled Amazon Orders.,Die Erstellung von Magento-Bestellungen ist für ausstehende oder stornierte Amazon-Bestellungen nicht möglich .
"ASIN/ISBN has a wrong format. Please, check its value in product settings.",Das Feld ASIN/ISBN hat nicht das richtige Format. Bitte überprüfen Sie den Wert in den Produkteinstellungen.
ASIN/ISBN was not found.,Die ASIN/ISBN wurde nicht gefunden.
The Product(s) was not found on Amazon.,Produkte wurden bei Amazon nicht gefunden.
The product was found in your Amazon inventory and linked by SKU.,Das Produkt wurde in Ihrem Amazon-Warenbestand gefunden und über die Bestandseinheit verknüpft.
"Item status was successfully changed to ""Unknown"".",Der Artikelstatus wurde in „unbekannt“ geändert.
"Item status was successfully changed to ""Active"".",Artikelstatus wurde in „aktiv“ geändert.
"Item status was successfully changed to ""Inactive"".",Artikelstatus wurde in „inaktiv“ geändert.
"Item status was successfully changed to ""Inactive (Blocked)"".",Artikelstatus wurde in „inaktiv (Gesperrt)“ geändert.
"Task ""Update Listings Products"" is started. Please wait...",Die Aufgabe „Produkte in Angeboten aktualisieren“ wurde gestartet. Bitte warten Sie...
"Task ""Update Listings Products"" is finished. Please wait...",Die Aufgabe „Produkte in Angeboten aktualisieren“ wurde abgeschlossen. Bitte warten Sie...
"Task ""Default Synchronization"" is started. Please wait...",Die Aufgabe „Standard-Synchronisierung“ wurde gestartet. Bitte warten Sie...
"Task ""Default Synchronization"" is finished. Please wait...",Die Aufgabe „Standard-Synchronisierung“ wurde abgeschlossen. Bitte warten Sie...
"The ""Categories Synchronization"" action is started. Please wait...",Die Aktion „Kategorien synchronisieren“ wurde gestartet. Bitte warten Sie...
"The ""Categories Synchronization"" action is finished. Please wait...",Die Aktion „Kategorien synchronisieren“ wurde abgeschlossen. Bitte warten Sie...
"The ""Categories Synchronization"" action for marketplace: ""%s"" is started. Please wait...",Die Aktion „Kategorien synchronisieren“ für Marktplatz „%s“ wurde gestartet. Bitte warten Sie...
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.",Die Aktion „Kategorien synchronisieren“ für Marktplatz „%mrk%“ wurde abgeschlossen.
"The ""Receive Details"" action is started. Please wait...",Die Aktion „Details empfangen“ wurde gestartet. Bitte warten Sie...
"The ""Receive Details"" action is finished. Please wait...",Die Aktion „Details empfangen“ wurde abgeschlossen. Bitte warten Sie...
"The ""Receive Details"" action for marketplace: ""%s"" is started. Please wait...",Die Aktion „Details empfangen“ für Marktplatz „%s“ wurde gestartet. Bitte warten Sie...
"The ""Receive Details"" action for marketplace: ""%s is in data processing mode. Please wait...",Die Aktion „Details empfangen“ für Marktplatz „%s“ befindet sich im Datenverarbeitungsmodus. Bitte warten Sie...
"The ""Receive Details"" action for marketplace: ""%mrk%""  has been successfully completed.",Die Aktion „Details empfangen“ für Marktplatz „%mrk%“ wurde abgeschlossen.
"The ""Receive Specifics"" action is started. Please wait...",Die Aktion „Merkmale empfangen“ wurde gestartet. Bitte warten Sie...
"The ""Receive Specifics"" action is finished. Please wait...",Die Aktion „Merkmale empfangen“ ist abgeschlossen. Bitte warten Sie...
"The ""Specifics Synchronization"" action for marketplace: ""%s"" is started. Please wait...",Die Aktion „Merkmale synchronisieren“ für Marktplatz „%s“ wurde gestartet. Bitte warten Sie...
"The ""Specifics Synchronization"" action for marketplace: ""%s"" is in data processing mode. Please wait...",Die Aktion „Merkmale synchronisieren“ für Marktplatz „%s“ befindet sich im Datenverarbeitungsmodus. Bitte warten Sie...
"The ""Specifics Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.",Die Aktion „Merkmale synchronisieren“ für Marktplatz „%mrk%“ wurde abgeschlossen.
"Task ""Marketplaces Synchronization"" is started. Please wait...",Die Aufgabe „Marktplätze synchronisieren“ wurde gestartet. Bitte warten Sie...
"Task ""Marketplaces Synchronization"" is finished. Please wait...",Die Aufgabe „Marktplätze synchronisieren“ wurde abgeschlossen. Bitte warten Sie...
"Task ""Orders Synchronization"" is started. Please wait...",Die Aufgabe „Bestellungen synchronisieren“ wurde gestartet. Bitte warten Sie...
"Task ""Orders Synchronization"" is finished. Please wait...",Die Aufgabe „Bestellungen synchronisieren“ wurde abgeschlossen. Bitte warten Sie...
"Task ""Orders Synchronization"" for Amazon account: ""%s"" and marketplace ""%s"" is started. Please wait...",Die Aufgabe „Bestellungen synchronisieren“ für Amazon-Konto „%s“ und Marktplatz „%s“ wurde gestartet. Bitte warten Sie...
Item was successfully added,Artikel wurde erfolgreich hinzugefügt
"Task ""3rd Party Listings Synchronization"" is started. Please wait...",Die Aufgabe „Angebote von Drittanbietern synchronisieren“ wurde gestartet. Bitte warten Sie...
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...",Die Aufgabe „Angebote von Drittanbietern synchronisieren“ wurde abgeschlossen. Bitte warten Sie...
"The ""Final"" action is started. Please wait...",Die Aktion „Letzte/r“ wurde gestartet. Bitte warten Sie...
"The ""Final"" action is finished. Please wait...",Die Aktion „Letzte/r“ ist abgeschlossen. Bitte warten Sie...
"The ""Relist"" action is started. Please wait...",Die Aktion „Wiedereinstellen“ wurde gestartet. Bitte warten Sie...
"The ""Relist"" action is finished. Please wait...",Die Aktion „Wiedereinstellen“ wurde abgeschlossen. Bitte warten Sie...
"The ""Revise"" action is started. Please wait...",Die Aktion „Bearbeiten“ wurde gestartet. Bitte warten Sie...
"The ""Revise"" action is finished. Please wait...",Die Aktion „Überarbeiten“ wurde abgeschlossen. Bitte warten Sie...
"The ""Initial"" action is started. Please wait...",Die Aktion „Erste/r“ wurde gestartet. Bitte warten Sie...
"The ""Initial"" action is finished. Please wait...",Die Aktion „Erste/r“ wurde abgeschlossen. Bitte warten Sie...
"The ""Stop"" action is started. Please wait...",Die Aktion „Anhalten“ wurde gestartet. Bitte warten Sie...
"The ""Stop"" action is finished. Please wait...",Die Aktion „Anhalten“ wurde abgeschlossen. Bitte warten Sie...
"Task ""Templates Synchronization"" is started. Please wait...",Die Aufgabe „Vorlagen synchronisieren“ wurde gestartet. Bitte warten Sie...
"Task ""Templates Synchronization"" is finished. Please wait...",Die Aufgabe „Vorlagen synchronisieren“ wurde abgeschlossen. Bitte warten Sie...
"Task ""Templates Synchronization"" has completed with errors. View %sl%listings log%el% for details.",Die Aufgabe „Vorlagen synchronisieren“ wurde mit Fehlern abgeschlossen. Weitere Informationen finden Sie im %sl%Angebotsprotokoll%el%.
"Task ""Templates Synchronization"" has completed with warnings. View %sl%listings log%el% for details.",Die Aufgabe „Vorlagen synchronisieren“ wurde mit Warnungen abgeschlossen. Weitere Informationen finden Sie im %sl%Angebotsprotokoll%el%.
Communication with Amazon is started. Please wait...,Die Kommunikation mit Amazon wurde gestartet. Bitte warten Sie...
Please wait...,Bitte warten Sie...
product(s),Produkt(e)
product(s) with id(s),Produkt(e) mit Nummer(n)
Communication with Amazon is finished. Please wait...,Die Kommunikation mit Amazon wurde abgeschlossen. Bitte warten Sie...
Error occurred while creating archive.,Bei der Erstellung des Archivs ist ein Fehler aufgetreten.
Content does not exist.,Der Inhalt existiert nicht.
Set component mode first,Legen Sie zuerst den Modus der Komponente fest.
Resource is not set.,Die Ressource ist nicht festgelegt.
ORM for config is not defined.,ORM für die Konfiguration ist nicht definiert.
Validation Failed. The server response data is not valid.,Validierung fehlgeschlagen. Die Serverantwortdaten sind ungültig.
Internal server error(s) [%errors%],Interne(r) Serverfehler [%Fehler%]
Server response data has invalid format.,Die Serverantwortdaten haben ein ungültiges Format.
Requested command has invalid format.,Der angefragte Befehl hat ein ungültiges Format.
Server connection is failed. Please try again later.,Die Serververbindung ist unterbrochen. Bitte versuchen Sie es später noch einmal.
The name of log file is not specified.,Der Name der Protokolldatei wurde nicht angegeben.
Creation of Log file is failed.,Die Protokolldatei konnte nicht erstellt werden.
Removing of Log file is failed.,Die Protokolldatei konnte nicht entfernt werden.
M2ePro base var dir creation is failed.,Das Basisverzeichnis für Variablen für M2E Pro konnte nicht erstellt werden.
Custom var dir creation is failed.,Das benutzerdefinierte Verzeichnis für Variablen konnte nicht erstellt werden.
M2ePro base var dir removing is failed.,Das Basisverzeichnis für Variablen für M2E Pro konnte nicht entfernt werden.
Custom var dir removing is failed.,Das benutzerdefinierte Verzeichnis für Variablen konnte nicht entfernt werden.
Listing component is not defined.,Die Angebotskomponente ist nicht definiert.
Listing id is not defined.,Die Angebotsnummer ist nicht definiert.
Item was successfully mapped,Der Artikel wurde zugeordnet
Item was successfully unmapped,Die Zuordnung des Artikels wurde aufgehoben
Product id is not setted,Die Produkt-ID wurde nicht festgelegt
Item was successfully deleted,Der Artikel wurde gelöscht
Listing was successfully deleted,Das Angebot wurde gelöscht
Variation option was deleted. Item was reset.,Die Variantenoption wurde gelöscht. Der Artikel wurde zurückgesetzt.
