About,Acerca de
Revising Selected Items On eBay,Revisando los artículos seleccionados en eBay
Relisting Selected Items On eBay,Volviendo a poner en venta los artículos seleccionados en eBay
Stopping Selected Items On eBay,Deteniendo los artículos seleccionados en eBay
Stopping On eBay And Removing From Listing Selected Items,Deteniendo en eBay y retirando del anuncio los artículos seleccionados
Please enter correct product ID.,Introduce el identificador de producto correcto.
Please enter correct product ID or SKU,Introduce el identificador o número de referencia de producto correcto
Map Item(s) to Products,Asignar productos a artículos
Only mapped products must be selected.,Solo se deben seleccionar productos asignados.
Please select items.,Selecciona los artículos.
Please select action.,Selecciona una acción.
Success,Finalizado
Warning,Advertencia
Error,Error
Close,Cerrar
Moving Amazon Items.,Moviendo artículos de Amazon.
Product(s) was successfully mapped.,Los productos se han asignado correctamente.
Item was not mapped as the chosen %s Simple Product has Custom Options.,El artículo no se ha asignado porque el producto simple %s elegido tiene opciones personalizadas.
"Please, choose another Simple Product.",Elige otro producto simple.
"Current Amazon version only supports simple products. Please, choose simple product.",La versión actual de Amazon solo permite la asignación de productos simples. Elige un producto simple.
Selected items must belong to the same Account and Marketplace.,Los artículos seleccionados deben pertenecer a la misma cuenta y mercado.
Product Title / Listing / SKU,Título de producto/Anuncio/Número de referencia
Stock Availability,Disponibilidad de existencias
In Stock,Disponible
Out of Stock,Sin existencias
Status,Estado
Unknown,Desconocido
Not Listed,Sin poner en venta
Listed,Puestos en venta
Sold,Vendido:
Stopped,Detenido
Finished,Finalizado
Blocked,Bloqueado
Manage,Gestionar
Listing,Anuncio
Go to listing,Ir al anuncio
Search Listings Items,Buscar artículos de anuncios
Templates,Plantillas
Selling Format Templates,Plantillas de formato de venta
Description Templates,Plantillas de descripción
Synchronization Templates,Plantillas de sincronización
General Log,Registro general
Search Products,Buscar productos
High,Alto
Medium,Medio
Low,Bajo
Manual,Manual
Automatic,Automática
All Marketplaces,Todos los mercados
Marketplaces,Mercados
Save And Complete This Step,Guardar y finalizar este paso
Save And Update,Guardar y actualizar
Order #,Pedido número
Magento Order #,Número de pedido de Magento
Orders Log,Registro de pedidos
Orders,Pedidos
Feedbacks,Votos
View Logs,Ver registros
Restore All Helps,Restaurar todas las ayudas
Settings,Configuración
Admin (Default Values),Administrador (valores predeterminados)
Attach Another File,Adjuntar otro archivo
Search,Buscar
Send,Enviar
Synchronization,Sincronización
Synchronization Log,Registro de sincronización
Synchronization Settings,Configuración de sincronización
Global,Global
Attribute Sets,Conjuntos de atributos
%sDescription Templates,%sPlantillas de descripción
Add Description Template,Añadir plantilla de descripción
Account,Cuenta
Marketplace,Mercado
%sGeneral Templates,%sPlantillas generales
Add General Template,Añadir plantilla general
Add Selling Format Template,Añadir plantilla de formato de venta
Add Synchronization Template,Añadir plantilla de sincronización
Languages,Idiomas
Original Text,Texto original
Suggestions,Sugerencias
Show More Translations,Mostrar más traducciones
Hide Translations,Ocultar traducciones
Add Translation,Añadir traducción
Suggest,Proponer
Discard,Descartar
Reset,Restablecer
Translation,Traducción
"Please, enter new suggestion text.",Escribe un nuevo texto de sugerencia.
Congratulations!,Enhorabuena
Configuration Wizard,Asistente de configuración
Skip Wizard,Omitir asistente
Proceed,Continuar
Complete Configuration,Finalizar configuración
Start Configuration,Iniciar configuración
Welcome to M2E Pro - Magento %s Integration!,Bienvenido a Integración de %s de M2E Pro - Magento
M2E Pro module is locked because of security reason. Please contact us.,El módulo M2E Pro está bloqueado debido por motivos de seguridad. Ponte en contacto con nosotros.
New buyer negative feedback(s) was received. Go to the %sfeedbacks page%s.,Se han recibido nuevos votos negativos de compradores. Ve a la %spágina de votos%s.
New buyer message(s) was received. Go to the %smessages page%s.,Se han recibido nuevos mensajes de compradores. Ve a la %spágina de mensajes%s.
M2E Pro,M2E Pro
Wizard,Asistente
Step is invalid,El paso no es válido
Status is invalid,El estado no es válido
Fatal error occurred,Se ha producido un error grave
Getting default website is failed,No se ha podido obtener el sitio Web predeterminado
Getting default store group is failed,No se ha podido obtener el grupo de tiendas predeterminado
Getting default store is failed,No se ha podido obtener la tienda predeterminada
eBay,eBay
Amazon (Beta),Amazon (beta)
Sell on Multi-Channels,Vender en varios canales
Server domain is not defined,No se ha definido el dominio de servidor
Server IP is not defined,No se ha definido la IP de servidor
"Encoding type ""%type%"" is not supported.","No se admite el tipo de codificación ""%type%""."
Instance does not exist.,La instancia no existe.
Method require loaded instance first,El método requiere que primero se cargue la instancia
"Listing ""%s"" locked by other process.","El anuncio ""%s"" está bloqueado por otro proceso."
Relisting,Volviendo a poner en venta
Revising,Revisando
Stopping,Deteniendo
Deleting,Eliminando
You must specify SKU if you want to add new inventory item.,Debes especificar el número de referencia si quieres añadir un nuevo artículo de inventario.
ASIN/ISBN is empty.,El ASIN/ISBN está vacío.
UPC/EAN is empty .,El UPC/EAN está vacío.
Item was not mapped to %id% Product as this is a multi variations product.,El artículo no se ha asignado al producto %id%. Es un producto con diversas variantes.
Item was successfully moved,El artículo se ha movido correctamente
Duplicated Amazon orders with ID #%id%.,Pedidos de Amazon duplicados con el identificador número %id%.
Product import is disabled in Amazon Account settings.,La importación de productos se ha desactivado en la Configuración de tu cuenta de Amazon.
"Product for Amazon Item ""%id%"" was created in Magento catalog.","El producto para el artículo ""%id%"" de Amazon se ha creado en el catálogo de Magento."
"Product for Amazon Item ""%title%"" was created in Magento catalog.","El producto para el artículo ""%title%"" de Amazon se ha creado en el catálogo de Magento."
Magento Order creation for items listed by M2E Pro is disabled in Account settings.,La creación de pedidos de Magento para los artículos puestos a la venta por M2E Pro está desactivada en la Configuración de tu cuenta.
Magento Order creation for items listed by 3rd party software is disabled in Account settings.,La creación de pedidos de Magento para los artículos puestos en venta por software externo está desactivada en la Configuración de tu cuenta.
Amazon Shipping,Envío de Amazon
Every item in order has zero price.,Todos los artículos del pedido tienen cero como precio.
Customer with ID specified in Amazon account settings does not exist.,No existe el cliente con el identificador especificado en la Configuración de tu cuenta de Amazon.
Order Status cannot be Updated. Reason: %msg%,El estado del pedido no se puede actualizar. Motivo: %msg%
Magento Order creation is not allowed for pending and canceled Amazon Orders.,La creación de pedidos de Magento no está permitida para los pedidos de Amazon pendientes y cancelados.
"ASIN/ISBN has a wrong format. Please, check its value in product settings.",El ASIN/ISBN tiene un formato erróneo. Comprueba su valor en la configuración de producto.
ASIN/ISBN was not found.,No se ha encontrado el ASIN/ISBN.
The Product(s) was not found on Amazon.,Los productos no se han encontrado en Amazon.
The product was found in your Amazon inventory and linked by SKU.,El producto se ha encontrado en tu inventario de Amazon y está vinculado por número de referencia.
"Item status was successfully changed to ""Unknown"".","El estado del artículo se ha cambiado correctamente a ""Desconocido""."
"Item status was successfully changed to ""Active"".","El estado del artículo se ha cambiado correctamente a ""Activo""."
"Item status was successfully changed to ""Inactive"".","El estado del artículo se ha cambiado correctamente a ""Inactivo""."
"Item status was successfully changed to ""Inactive (Blocked)"".","El estado del artículo se ha cambiado correctamente a ""Inactivo (bloqueado)""."
"Task ""Update Listings Products"" is started. Please wait...","Se ha iniciado la tarea ""Actualizar productos de anuncios"". Por favor, espera..."
"Task ""Update Listings Products"" is finished. Please wait...","La tarea ""Actualizar productos de anuncios"" ha finalizado. Por favor, espera..."
"Task ""Default Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización predeterminada"". Por favor, espera..."
"Task ""Default Synchronization"" is finished. Please wait...","La tarea ""Sincronización predeterminada"" ha finalizado. Por favor, espera..."
"The ""Categories Synchronization"" action is started. Please wait...","Se ha iniciado la acción ""Sincronización de categorías"". Por favor, espera..."
"The ""Categories Synchronization"" action is finished. Please wait...","La acción ""Sincronización de categorías"" ha finalizado. Por favor, espera..."
"The ""Categories Synchronization"" action for marketplace: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Sincronización de categorías"" del mercado ""%s"". Por favor, espera..."
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.","La acción ""Sincronización de categorías"" del mercado ""%mrk%"" ha finalizado correctamente."
"The ""Receive Details"" action is started. Please wait...","Se ha iniciado la acción ""Recibir detalles"". Por favor, espera..."
"The ""Receive Details"" action is finished. Please wait...","La acción ""Recibir detalles"" ha finalizado. Por favor, espera..."
"The ""Receive Details"" action for marketplace: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Recibir detalles"" del mercado ""%s"". Por favor, espera..."
"The ""Receive Details"" action for marketplace: ""%s is in data processing mode. Please wait...","La acción ""Recibir detalles"" del mercado ""%s se encuentra en estado de procesamiento de datos. Por favor, espera..."
"The ""Receive Details"" action for marketplace: ""%mrk%""  has been successfully completed.","La acción ""Recibir detalles"" del mercado ""%mrk%"" ha finalizado correctamente."
"The ""Receive Specifics"" action is started. Please wait...","Se ha iniciado la acción ""Recibir características"". Por favor, espera..."
"The ""Receive Specifics"" action is finished. Please wait...","La acción ""Recibir características"" ha finalizado. Por favor, espera..."
"The ""Specifics Synchronization"" action for marketplace: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Sincronización de características"" del mercado ""%s"". Por favor, espera..."
"The ""Specifics Synchronization"" action for marketplace: ""%s"" is in data processing mode. Please wait...","La acción ""Sincronización de características"" del mercado ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"The ""Specifics Synchronization"" action for marketplace: ""%mrk%"" has been successfully completed.","La acción ""Sincronización de características"" del mercado ""%mrk%"" ha finalizado correctamente."
"Task ""Marketplaces Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de mercados"". Por favor, espera..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","La tarea ""Sincronización de mercados"" ha finalizado. Por favor, espera..."
"Task ""Orders Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de pedidos"". Por favor, espera..."
"Task ""Orders Synchronization"" is finished. Please wait...","La tarea ""Sincronización de pedidos"" ha finalizado. Por favor, espera..."
"Task ""Orders Synchronization"" for Amazon account: ""%s"" and marketplace ""%s"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de pedidos"" para la cuenta de Amazon ""%s"" y el mercado ""%s"". Por favor, espera..."
Item was successfully added,El artículo se ha añadido correctamente
"Task ""3rd Party Listings Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de anuncios externos"". Por favor, espera..."
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...","La tarea ""Sincronización de anuncios externos"" ha finalizado. Por favor, espera..."
"The ""Final"" action is started. Please wait...","Se ha iniciado la acción ""Final"". Por favor, espera..."
"The ""Final"" action is finished. Please wait...","La acción ""Final"" ha finalizado. Por favor, espera..."
"The ""Relist"" action is started. Please wait...","Se ha iniciado la acción ""Volver a poner en venta"". Por favor, espera..."
"The ""Relist"" action is finished. Please wait...","La acción ""Volver a poner en venta"" ha finalizado. Por favor, espera..."
"The ""Revise"" action is started. Please wait...","Se ha iniciado la acción ""Revisar"". Por favor, espera..."
"The ""Revise"" action is finished. Please wait...","La acción ""Revisar"" ha finalizado. Por favor, espera..."
"The ""Initial"" action is started. Please wait...","Se ha iniciado la acción ""Inicial"". Por favor, espera..."
"The ""Initial"" action is finished. Please wait...","La acción ""Inicial"" ha finalizado. Por favor, espera..."
"The ""Stop"" action is started. Please wait...","Se ha iniciado la acción ""Detener"". Por favor, espera..."
"The ""Stop"" action is finished. Please wait...","La acción ""Detener"" ha finalizado. Por favor, espera..."
"Task ""Templates Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de plantillas"". Por favor, espera..."
"Task ""Templates Synchronization"" is finished. Please wait...","La tarea ""Sincronización de plantillas"" ha finalizado. Por favor, espera..."
"Task ""Templates Synchronization"" has completed with errors. View %sl%listings log%el% for details.","La tarea ""Sincronización de plantillas"" ha finalizado con errores. Consulta el %sl%registro de anuncios%el% para más información."
"Task ""Templates Synchronization"" has completed with warnings. View %sl%listings log%el% for details.","La tarea ""Sincronización de plantillas"" ha finalizado con advertencias. Consulta el %sl%registro de anuncios%el% para más información."
Communication with Amazon is started. Please wait...,"Se ha iniciado la comunicación con Amazon. Por favor, espera..."
Please wait...,"Por favor, espera..."
product(s),producto(s)
product(s) with id(s),producto(s) con identificador(es)
Communication with Amazon is finished. Please wait...,"La comunicación con Amazon ha finalizado. Por favor, espera..."
Error occurred while creating archive.,Se ha producido un error al crear el archivo.
Content does not exist.,El contenido no existe.
Set component mode first,Establece primero el modo de componente
Resource is not set.,No se ha establecido el recurso.
ORM for config is not defined.,No se ha definido OMR para la configuración.
Validation Failed. The server response data is not valid.,La validación ha fallado. Los datos de respuesta del servidor no son válidos.
Internal server error(s) [%errors%],Errores internos del servidor [%errors%]
Server response data has invalid format.,Los datos de respuesta del servidor tienen un formato no válido.
Requested command has invalid format.,El comando solicitado tiene un formato no válido.
Server connection is failed. Please try again later.,Se ha producido un error de conexión del servidor. Inténtalo de nuevo más tarde.
The name of log file is not specified.,No se ha especificado el nombre del archivo de registro.
Creation of Log file is failed.,No se ha podido crear el archivo de registro.
Removing of Log file is failed.,No se ha podido eliminar el archivo de registro.
M2ePro base var dir creation is failed.,No se ha podido crear el directorio variable base de M2E Pro.
Custom var dir creation is failed.,No se ha podido crear el directorio variable personalizado.
M2ePro base var dir removing is failed.,No se ha podido eliminar el directorio variable base de M2E Pro.
Custom var dir removing is failed.,No se ha podido eliminar el directorio de variables personalizadas.
Listing component is not defined.,No se ha definido el componente del anuncio.
Listing id is not defined.,No se ha definido el identificador del anuncio.
Item was successfully mapped,El artículo se ha asignado correctamente
Item was successfully unmapped,El artículo se ha desasignado correctamente
Product id is not setted,No se ha establecido el identificador de producto
Item was successfully deleted,El artículo se ha eliminado correctamente
Listing was successfully deleted,El anuncio se ha eliminado correctamente
Variation option was deleted. Item was reset.,La opción de variante se ha eliminado. El artículo se ha restablecido.
Wrong nick of lock item.,Apodo erróneo de artículo de bloqueo.
Wrong max deactivate lock item time.,Tiempo máximo erróneo de artículo de bloqueo de desactivación.
Wrong object class for getting action_id!,Clase de objeto errónea para obtener action_id.
Cancel is not allowed for Orders which were already Canceled.,No se pueden cancelar pedidos que ya se han cancelado.
Cancel is not allowed for Orders with Invoiced Items.,No se permite la cancelación de los pedidos con artículos facturados.
Cancel is not allowed for Orders which were put on Hold.,No se permite la cancelación de los pedidos que están retenidos.
Cancel is not allowed for Orders which were Completed or Closed.,No se permite la cancelación de los pedidos que están finalizados o cerrados.
M2E Pro Notes,Notas de M2E Pro
Yes,Sí
No,No
The Product ID is not set.,No se ha establecido el identificador de producto.
Load instance first,Carga primero la instancia
Attribute does not exist.,El atributo no existe.
There is no associated products found for grouped product.,No se han encontrado productos asociados para el producto agrupado.
Payment Status for eBay Order was updated to Paid.,El estado de pago del pedido de eBay se ha actualizado a Pagado.
Payment Status for eBay Order was not updated. View %sl%order log%el% for more details.,El estado de pago del pedido de eBay no se ha actualizado. Consulta el %sl%registro de pedido%el% para más información.
From [%from%] to [%to%],De [%from%] a [%to%]
IN Stock,Disponible
OUT of Stock,Sin existencias
Enabled,Activado
Disabled,Desactivado
From [%from%] to [%to%].,De [%from%] a [%to%].
None,Ninguno
"Attribute ""%attr%"" from [%from%] to [%to%].","Atributo ""%attr%"" de [%from%] a [%to%]."
Shipping Status for eBay Order was updated.,Se ha actualizado el estado de envío del pedido de eBay.
Updating Amazon Order Status to Shipped in Progress...,Actualización del estado del pedido de Amazon a Enviado en curso...
Shipping Status for %channel% Order was not updated. View %sl%order log%el% for more details.,El estado de envío del pedido de %channel% no se ha actualizado. Consulta el %sl%registro de pedido%el% para más información.
Product does not exist. Probably it was deleted.,El producto no existe. Probablemente se ha eliminado.
Product is disabled.,El producto está desactivado.
Order Import does not support product type: %type%.,El importe del pedido no admite el tipo de producto: %type%.
Invalid order log type.,Tipo de registro de pedido no válido.
Store is not set.,No se ha establecido la tienda.
Magento Order was not created. Reason: %msg%,No se ha creado el pedido de Magento. Motivo: %msg%
Magento Order #%order_id% was created.,Se ha creado el pedido de Magento número %order_id%.
Payment Transaction was not created. Reason: %msg%,No se ha creado la transacción de pago. Motivo: %msg%
Invoice was not created. Reason: %msg%,No se ha creado la factura. Motivo: %msg%
Invoice #%invoice_id% was created.,Se ha creado la factura número %invoice_id%.
Shipment was not created. Reason: %msg%,No se ha creado el envío. Motivo: %msg%
Shipment #%shipment_id% was created.,Se ha creado el envío número %shipment_id%.
Tracking details were not imported. Reason: %msg%,No se han importado los detalles de seguimiento. Motivo: %msg%
Tracking details were imported.,Se han importado los detalles de seguimiento.
Magento Order #%order_id% was canceled.,Se ha cancelado el pedido de Magento número %order_id%.
Magento Order #%order_id% was not canceled. Reason: %msg%,No se ha cancelado el pedido de Magento número %order_id%. Motivo: %msg%
Store does not exist.,La tienda no existe.
"Payment method ""M2E Pro Payment"" is disabled in magento configuration.","La forma de pago ""Pago de M2E Pro"" está desactivada en la configuración de Magento."
"Shipping method ""M2E Pro Shipping"" is disabled in magento configuration.","La forma de envío ""Envío de M2E Pro"" está desactivada en la configuración de Magento."
Request failed.,No se ha podido realizar la solicitud.
Another Synchronization Is Already Running,Ya está en ejecución otra sincronización
"The ""Deleted Products"" action is started. Please wait...","Se ha iniciado la acción ""Productos eliminados"". Por favor, espera..."
"The ""Deleted Products"" action is finished. Please wait...","La acción ""Productos eliminados"" ha finalizado. Por favor, espera..."
